TIME,MAC,RSSI
1700229659.860986,A439B3FEEC7A,-60;
1700229659.860986,BAFBE44A21BF,-69;
1700229659.860986,B4D5BD1E51EB,-79;
1700229659.860986,B4FBE44A21BF,-71;
1700229659.860986,761AD79682D7,-74;
1700229659.860986,CE3AD531FDEC,-76;
1700229659.860986,B4FBE44A21BF,-69;
1700229659.860986,CE3AD531FDEC,-76;
1700229659.860986,F6E9DD6A7479,-71;
1700229659.860986,EA85DE5A5026,-78;
1700229659.860986,7AA741E9A67A,-88;
1700229659.860986,023692AA0202,-73;
1700229659.860986,329C138DB858,-74;
1700229659.860986,12F3F6F6B037,-86;
1700229659.860986,023692AA15B0,-87;
1700229659.860986,0259CCD62FC0,-88;
1700229659.860986,70A741E9A670,-87;
1700229659.860986,C6D57904B13C,-86;
1700229659.860986,E43883396A6B,-88;
1700229659.860986,EA3883396A6B,-87;
1700229659.860986,76A741E9A676,-87;
1700229659.860986,023692AA0202,-76;
1700229659.860986,E438833967EF,-87;
1700229659.860986,EA38833967EF,-86;
1700229659.860986,EE38833967EF,-88;
1700229659.860986,70A741E9DFA7,-91;
1700229659.860986,76A741E9DFA7,-91;
1700229659.860986,06655483A830,-83;
1700229659.860986,7AA741E9DFA7,-90;
1700229659.860986,D8EC5E19D23B,-92;
1700229659.860986,DAA1192C8496,-72;
1700229659.860986,8A3AB04DCCF0,-82;
1700229659.860986,D8EC5E19DB17,-92;
1700229659.860986,4657D0F2F73F,-83;
1700229659.860986,48E7DA578C5F,-73;
1700229659.860986,AE17DDAF26DF,-71;
1700229659.860986,26481CA9DD6F,-71;
1700229659.860986,8A94DB7B314D,-87;
1700229659.860986,5E1A4542FAE1,-63;
1700229659.860986,94E7BCA8163F,-82;
1700229659.860986,12DB379CFB6F,-72;
1700229659.860986,B827EB404E9F,-82;
1700229659.860986,12C56F5E3640,-80;
1700229659.860986,629CBBDFC6DE,-79;
1700229659.860986,46AB273B3CEF,-87;
1700229659.860986,DAA119E2AAD9,-82;
1700229659.860986,26ED36C6D8B4,-90;
1700229659.860986,6E62E780A094,-84;
1700229659.860986,DAA1192C8496,-81;
